session_id,timestamp,environment
a222c553-99fe-41ee-9e4b-084438a2903e,2026-04-24 12:58:04.516199,local
a222c553-99fe-41ee-9e4b-084438a2903e,2026-04-24 12:58:38.796452,local
a222c553-99fe-41ee-9e4b-084438a2903e,2026-04-24 13:01:10.016753,local
a222c553-99fe-41ee-9e4b-084438a2903e,2026-04-24 13:01:16.112161,local
a222c553-99fe-41ee-9e4b-084438a2903e,2026-04-24 13:01:18.765257,local
a222c553-99fe-41ee-9e4b-084438a2903e,2026-04-24 13:01:29.588077,local
a222c553-99fe-41ee-9e4b-084438a2903e,2026-04-24 13:01:34.902881,local
a222c553-99fe-41ee-9e4b-084438a2903e,2026-04-24 13:01:40.278648,local
a222c553-99fe-41ee-9e4b-084438a2903e,2026-04-24 13:01:43.322152,local
a222c553-99fe-41ee-9e4b-084438a2903e,2026-04-24 13:01:53.488786,local
88c10223-5f26-4c01-9318-a01445dc4e7d,2026-04-24 15:47:49.721388,local
88c10223-5f26-4c01-9318-a01445dc4e7d,2026-04-24 15:48:13.860977,local
88c10223-5f26-4c01-9318-a01445dc4e7d,2026-04-24 15:48:15.107177,local
88c10223-5f26-4c01-9318-a01445dc4e7d,2026-04-24 15:48:16.472882,local
88c10223-5f26-4c01-9318-a01445dc4e7d,2026-04-24 15:48:53.059348,local
88c10223-5f26-4c01-9318-a01445dc4e7d,2026-04-24 15:49:11.628752,local
88c10223-5f26-4c01-9318-a01445dc4e7d,2026-04-24 15:49:17.087104,local
88c10223-5f26-4c01-9318-a01445dc4e7d,2026-04-24 15:49:18.343322,local
88c10223-5f26-4c01-9318-a01445dc4e7d,2026-04-24 15:49:29.541404,local
88c10223-5f26-4c01-9318-a01445dc4e7d,2026-04-24 15:49:41.976324,local
88c10223-5f26-4c01-9318-a01445dc4e7d,2026-04-24 15:50:01.222384,local
88c10223-5f26-4c01-9318-a01445dc4e7d,2026-04-24 15:50:23.700053,local
88c10223-5f26-4c01-9318-a01445dc4e7d,2026-04-24 15:50:27.052854,local
88c10223-5f26-4c01-9318-a01445dc4e7d,2026-04-24 15:50:30.860178,local
174a9c29-5209-4aa1-a1f2-ac41a796c420,2026-04-25 06:03:50.448037,local
174a9c29-5209-4aa1-a1f2-ac41a796c420,2026-04-25 06:04:00.844374,local
8be2c41d-86d7-4708-b7c2-4f7f049fca95,2026-04-25 06:09:00.667913,local
8be2c41d-86d7-4708-b7c2-4f7f049fca95,2026-04-25 06:10:30.023681,local
8c6ececa-9dc4-4773-906f-4953dc7429f8,2026-04-25 06:12:31.876832,local
8c6ececa-9dc4-4773-906f-4953dc7429f8,2026-04-25 06:12:38.661251,local
d0d367a4-497d-48f0-84b8-7d58dc0f39c1,2026-04-25 06:35:01.766460,local
d0d367a4-497d-48f0-84b8-7d58dc0f39c1,2026-04-25 06:35:12.246023,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:38:43.079848,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:38:59.804527,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:39:25.498791,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:39:28.878156,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:39:31.643635,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:39:48.504051,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:39:53.431733,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:40:01.926868,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:40:02.254184,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:40:11.460137,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:40:11.789092,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:40:14.789324,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:40:20.202303,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:40:20.373991,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:40:23.838957,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:40:30.292368,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:40:30.494992,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:40:43.069349,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:40:48.773074,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:40:51.451729,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:40:54.864228,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:40:55.005615,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:43:39.289048,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:43:45.050861,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:43:54.477533,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:44:00.372382,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:44:00.556206,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:44:42.757419,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:44:52.973207,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:45:00.110477,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:45:04.247296,local
a2dee7aa-f2d2-44bf-8cfa-13ed64efe55a,2026-04-25 06:45:04.486925,local
3e04a146-6f15-45af-a200-e723e64a6b91,2026-04-25 07:06:30.028081,local
3e04a146-6f15-45af-a200-e723e64a6b91,2026-04-25 07:11:23.890766,local
26ef7b3f-3b4b-42ae-ad5d-11a736930674,2026-04-25 09:45:43.164335,local
26ef7b3f-3b4b-42ae-ad5d-11a736930674,2026-04-25 09:45:48.960284,local
